No.,Chinese (Simplified),Type,Gender,Note,Reference,EN,EN Optional,EN Status,JA,读音,JA Status,KO,KO Optional,KO Status,DE,FR,ES-419,RU,PT-BR,TH,ID,IT,Key_Index
1,异环,世界观 Worldbuilding,/,游戏名称,,NTE,,Confirmed,NTE: Neverness to Everness,,Confirmed,이환,,Confirmed,NTE,NTE,NTE,NTE,NTE,NTE,NTE,,
2,异象,世界观 Worldbuilding,/,异象是一切于人类而言具有超自然、非现实属性的生物、物体、现象、地点、迷因的统称。,,anomaly,,Confirmed,異象,アノマリー,Confirmed,이상,,Confirmed,Anomalie,Anomalie,Anomalía,Аномалия,anomalia,อะนอมาลี,anomali,,
3,奇点,世界观 Worldbuilding,/,即使收容或者泯除异象的关键点,,Nexus,,Confirmed,奇点,きてん,Confirmed,특이점,,Confirmed,Nexus,Nexus,Nexo,Нексус,Nexus,เน็กซัส,Nexus,,
4,异能,世界观 Worldbuilding,/,即普通人类觉醒的超自然能力，异能属性目前分为六种类别。它们分别是光、暗、咒、灵、相、魂。,,Esper Ability,,Confirmed,異能,イノウ,Confirmed,이능력,,Confirmed,Esper-Fähigkeit,Capacité d’Esper,Habilidad Esper,Способность эспера,Habilidade Ésper,พลังเอสเปอร์,Kemampuan Esper,,
5,泯除,世界观 Worldbuilding,/,摧毁、破坏掉异象的奇点，使之无效化。,,Nullification,Nullify (v.),Confirmed,排除,,Confirmed,제거,,Confirmed,Neutralisierung,Annulation,Anulación,Нуллификация,Anulação,ลบล้าง,Peniadaan,,
6,维特海默值,世界观 Worldbuilding,/,检测衡量目标对象背离现实强度的数值被称作维特海默值。,,Wertheimer Index,,Confirmed,ヴェルテハイモー値,,Confirmed,베르트하이머 수치,,Confirmed,Wertheimer-Index,Indice Wertheimer,Índice de Wertheimer,Индекс Вертхаймера,Escala de Wertheimer,ดัชนีเวิร์ธไฮเมอร์,Indeks Wertheimer,,
7,反转移定律,世界观 Worldbuilding,/,普通人类越是接近、研究异象，越是容易受到TA们的影响——精神和肉体层面都有。这种影响被称为「侵凌」。,,Countertransference Theory,,Confirmed,反転移定律,,Confirmed,역전이 법칙,,Confirmed,Gegenübertragungstheorie,Théorie de la contre-transmission,Teoría de la contratransferencia,Теория контрпереноса,Teoria da Contratransferência,ทฤษฎีถ่ายโอนย้อนกลับ,Teori Kontratransferensi,,
8,海特洛市,世界观 Worldbuilding,/,集合高尖科技与最新潮流的大都市，游戏开放的第一个城市，异象管理和异能利用都走在世界前沿。,,Hethereau City,Hethereau,Revised,ヘテロシティ,へとろしてぃ,Confirmed,헤테로 시티,,Confirmed,Hethereau,Hethereau,Hethereau,Этеро,Hethereau,เฮเทอโร,Hethereau,,
9,环,世界观 Worldbuilding,/,"是世界对异象权力机构。「环」组织架构分为表环和里环。表环由异象管理局、塞拉伊诺馆、尤克阿什庭、零角实验室、格赫罗斯岛等公权机构与民间异象猎人组织或个人组成。
里环则是这一权力机制运转的核心，对公众隐身，表环只有极少数人知道里环的存在。",,Circle,,Confirmed,環,サイクル,Confirmed,써클,,Confirmed,Zirkel,Le Cercle,El Círculo,Круг,Círculo,เซอร์เคิล,Lingkaran,,
10,里环信条,世界观 Worldbuilding,/,里环是权力机构【环】运转的核心，对公众隐身，只有极少数人知道里环的存在。它的信条是“异日永恒如一，异日永无止境”,,The Inner Circle Tenet,,Confirmed,裏環の信条,うらリングスのしんじょう,Confirmed,이너써클 신조,,Confirmed,Der Grundsatz des Inneren Zirkels,Doctrine du Cercle intérieur,Credo del Círculo interno,Принцип Внутреннего круга,Dogma do Círculo Interno,หลักการอินเนอร์เซอร์เคิล,Haluan Lingkaran Dalam,,
11,格矢塔,世界观 Worldbuilding,/,「环」的中央智库，掌控着世界上已知的所有异象与异能者档案,,Gestalt Archive,,Confirmed,ガシュタルト,,Confirmed,게슈탈트,,Confirmed,Gestalt-Archiv,Archives de Gestalt,Archivo Gestalt,Архив гештальта,Arquivo Gestalt,คลังความรู้เกสตัลท์,Arsip Gestalt,,
12,早雾,角色名称 Character Name,Female,古灵精怪，阴晴交替，没有成熟的善恶观，有腹黑毒舌一面，被人欺负或者冒犯的时候会毫不犹豫地捉弄报复回去。偶尔显露出天真孤独的孩子本性。,,Sakiri,,Confirmed,早霧,さきり,Confirmed,사키리,,Confirmed,Sakiri,Sakiri,Sakiri,Сакири,Sakiri,ซากิริ,Sakiri,,
